	tissue	gene_id	gene_name	chr	start	end	num_var	TR_chr	TR_start	TR_end	TR_locus	eTR	lead_TR	lead_p_nominal	p_nominal	slope	slope_se	qval
419	Thyroid	ENSG00000238286.1	SLC35E1P1	chr13	20607268	20608131	1	chr13	20550539	20550640	6323	True	True	6.9219e-12	6.9219e-12	-2.8327e-01	4.0419e-02	4.3496e-09
420	Esophagus_Mucosa	ENSG00000270127.2	RP11-526I2.5	chr15	100547765	100550153	8	chr15	100554291	100558659	8773	True	True	5.0866e-13	5.0866e-13	3.2561e-01	4.3800e-02	4.4482e-09
421	Stomach	ENSG00000283426.1	RP11-141C7.2	chr3	195701618	195711643	4	chr3	195694561	195694966	18362	True	True	4.5764e-13	4.5764e-13	3.9168e-01	5.1842e-02	4.5700e-09
422	Pancreas	ENSG00000259727.1	RP11-1069G10.2	chr15	62895812	62899543	3	chr15	62893477	62893539	8447	True	True	5.8502e-13	5.8502e-13	4.0899e-01	5.4149e-02	4.6710e-09
423	Esophagus_Muscularis	ENSG00000197915.5	HRNR	chr1	152212082	152224193	3	chr1	152213243	152221044	1143	True	True	1.3494e-12	1.3494e-12	3.2287e-01	4.4273e-02	4.9677e-09
424	Breast_Mammary_Tissue	ENSG00000146556.14	WASH2P	chr2	113588550	113599034	6	chr2	113610060	113611275	13631	True	True	5.4695e-13	5.4695e-13	3.5532e-01	4.7577e-02	5.3542e-09
425	Skin_Not_Sun_Exposed_Suprapubic	ENSG00000262539.1	RP11-259G18.3	chr17	46259551	46260606	1	chr17	46265245	46265480	10319	True	True	6.4728e-12	6.4728e-12	2.9965e-01	4.2581e-02	5.6106e-09
426	Adipose_Subcutaneous	ENSG00000124406.16	ATP8A1	chr4	42408373	42657105	4	chr4	42652819	42653116	19018	True	True	2.0263e-12	2.0263e-12	2.8721e-01	3.9946e-02	5.8624e-09
427	Adipose_Subcutaneous	ENSG00000184967.6	NOC4L	chr12	132144448	132152441	12	chr12	132148889	132150763	6237	True	True	6.7567e-13	6.7567e-13	-3.0232e-01	4.1058e-02	5.8624e-09
428	Artery_Tibial	ENSG00000164393.8	ADGRF2	chr6	47656436	47697797	3	chr6	47589379	47589579	22453	True	True	2.7627e-12	2.7627e-12	-2.8527e-01	3.9935e-02	6.1032e-09
429	Nerve_Tibial	ENSG00000184465.15	WDR27	chr6	169457212	169702048	16	chr6	169765857	169766056	23628	True	True	4.9742e-13	4.9742e-13	3.0783e-01	4.1524e-02	6.7541e-09
430	Skin_Sun_Exposed_Lower_leg	ENSG00000238286.1	SLC35E1P1	chr13	20607268	20608131	1	chr13	20550539	20550640	6323	True	True	9.9266e-12	9.9266e-12	-2.7429e-01	3.9490e-02	7.3581e-09
431	Adipose_Visceral_Omentum	ENSG00000120071.13	KANSL1	chr17	46029916	46225389	1	chr17	46265245	46265480	10319	True	True	6.2220e-12	6.2220e-12	3.1392e-01	4.4462e-02	7.4244e-09
432	Breast_Mammary_Tissue	ENSG00000228274.3	RP3-508I15.9	chr22	38667663	38681820	3	chr22	38644314	38644569	16425	True	True	1.6435e-12	1.6435e-12	-3.5442e-01	4.8482e-02	7.4697e-09
433	Stomach	ENSG00000224769.1	MUC20P1	chr3	195614947	195620233	5	chr3	195717039	195717263	18365	True	True	7.2052e-13	7.2052e-13	3.8860e-01	5.1915e-02	7.9946e-09
434	Brain_Frontal_Cortex_BA9	ENSG00000206077.10	ZDHHC11B	chr5	710360	766952	19	chr5	764827	765401	20384	True	True	4.3012e-14	4.3012e-14	5.4401e-01	6.5722e-02	8.3569e-09
435	Thyroid	ENSG00000131591.17	C1orf159	chr1	1081818	1116361	19	chr1	1098986	1099902	29	True	True	7.3410e-13	7.3410e-13	-2.9465e-01	4.0132e-02	8.5142e-09
436	Thyroid	ENSG00000143631.10	FLG	chr1	152302175	152325203	2	chr1	152213243	152221044	1143	True	True	7.4721e-12	7.4721e-12	-2.8259e-01	4.0391e-02	8.6293e-09
437	Thyroid	ENSG00000179750.15	APOBEC3B	chr22	38982347	38992804	5	chr22	38981117	38981249	16433	True	True	2.9511e-12	2.9511e-12	2.8928e-01	4.0523e-02	8.6293e-09
438	Thyroid	ENSG00000130024.14	PHF10	chr6	169705133	169724055	10	chr6	169765857	169766056	23628	True	True	1.5426e-12	1.5426e-12	-2.9088e-01	4.0216e-02	8.6731e-09
439	Artery_Aorta	ENSG00000143631.10	FLG	chr1	152302175	152325203	2	chr1	152213243	152221044	1143	True	True	1.9934e-12	1.9934e-12	-3.5053e-01	4.8171e-02	8.7020e-09
440	Colon_Sigmoid	ENSG00000188818.12	ZDHHC11	chr5	795606	850986	14	chr5	764827	765401	20384	True	True	3.2167e-13	3.2167e-13	4.0235e-01	5.2768e-02	9.0508e-09
441	Nerve_Tibial	ENSG00000063854.12	HAGH	chr16	1795620	1826940	7	chr16	1916147	1916211	8909	True	True	1.6393e-12	1.6393e-12	3.0063e-01	4.1546e-02	9.3639e-09
442	Adipose_Subcutaneous	ENSG00000279267.1	RP11-395L14.18	chr2	113605867	113607908	6	chr2	113610060	113611275	13631	True	True	2.2552e-12	2.2552e-12	-2.8855e-01	4.0210e-02	9.4460e-09
443	Whole_Blood	ENSG00000182885.16	ADGRG3	chr16	57668187	57689378	6	chr16	57693733	57693863	9381	True	True	2.2087e-12	2.2087e-12	-2.6777e-01	3.7419e-02	9.6325e-09
444	Esophagus_Muscularis	ENSG00000168528.11	SERINC2	chr1	31409565	31434680	3	chr1	31431747	31432230	461	True	True	2.8085e-12	2.8085e-12	-3.2047e-01	4.4605e-02	9.7308e-09
445	Adipose_Visceral_Omentum	ENSG00000238286.1	SLC35E1P1	chr13	20607268	20608131	1	chr13	20550539	20550640	6323	True	True	9.1184e-12	9.1184e-12	-3.1091e-01	4.4411e-02	1.0276e-08
446	Esophagus_Mucosa	ENSG00000259205.2	PRKXP1	chr15	100553529	100558954	9	chr15	100554291	100558659	8773	True	True	1.1532e-12	1.1532e-12	3.2083e-01	4.3875e-02	1.0748e-08
447	Pancreas	ENSG00000188818.12	ZDHHC11	chr5	795606	850986	14	chr5	840885	841558	20387	True	True	3.3432e-13	3.3432e-13	4.0644e-01	5.3287e-02	1.0900e-08
448	Thyroid	ENSG00000120071.13	KANSL1	chr17	46029916	46225389	1	chr17	46265245	46265480	10319	True	True	1.9899e-11	1.9899e-11	2.7865e-01	4.0693e-02	1.0901e-08
449	Skin_Not_Sun_Exposed_Suprapubic	ENSG00000146556.14	WASH2P	chr2	113588550	113599034	6	chr2	113610060	113611275	13631	True	True	2.2331e-12	2.2331e-12	3.0445e-01	4.2303e-02	1.1149e-08
450	Lung	ENSG00000146556.14	WASH2P	chr2	113588550	113599034	6	chr2	113610060	113611275	13631	True	True	2.1809e-12	2.1809e-12	3.0690e-01	4.2606e-02	1.1202e-08
451	Esophagus_Muscularis	ENSG00000138744.14	NAAA	chr4	75913657	75940949	1	chr4	76027456	76027965	19295	True	True	1.0367e-11	1.0367e-11	3.1173e-01	4.4643e-02	1.1308e-08
452	Adipose_Subcutaneous	ENSG00000167914.11	GSDMA	chr17	39953263	39977766	2	chr17	39956231	39956296	10271	True	True	8.6534e-12	8.6534e-12	-2.8128e-01	4.0336e-02	1.1679e-08
453	Lung	ENSG00000279267.1	RP11-395L14.18	chr2	113605867	113607908	6	chr2	113610060	113611275	13631	True	True	2.3685e-12	2.3685e-12	-3.0642e-01	4.2613e-02	1.1698e-08
454	Pituitary	ENSG00000120071.13	KANSL1	chr17	46029916	46225389	1	chr17	46265245	46265480	10319	True	True	2.6645e-12	2.6645e-12	4.3900e-01	5.9374e-02	1.1773e-08
455	Testis	ENSG00000235126.1	AC128709.3	chr3	197445061	197458323	11	chr3	197454933	197455208	18415	True	True	1.0424e-12	1.0424e-12	3.9304e-01	5.2825e-02	1.2176e-08
456	Lung	ENSG00000259205.2	PRKXP1	chr15	100553529	100558954	9	chr15	100554291	100558659	8773	True	True	1.7256e-12	1.7256e-12	3.1369e-01	4.3295e-02	1.2311e-08
457	Whole_Blood	ENSG00000146700.8	SSC4D	chr7	76389334	76409695	4	chr7	76388823	76388890	24525	True	True	4.5041e-12	4.5041e-12	2.6642e-01	3.7777e-02	1.2550e-08
458	Lung	ENSG00000262539.1	RP11-259G18.3	chr17	46259551	46260606	1	chr17	46265245	46265480	10319	True	True	1.6664e-11	1.6664e-11	2.9510e-01	4.2815e-02	1.2737e-08
459	Colon_Transverse	ENSG00000259205.2	PRKXP1	chr15	100553529	100558954	9	chr15	100554291	100558659	8773	True	True	1.1020e-12	1.1020e-12	3.6878e-01	4.9899e-02	1.2900e-08
460	Esophagus_Gastroesophageal_Junction	ENSG00000214401.4	KANSL1-AS1	chr17	46193576	46196723	1	chr17	46265245	46265480	10319	True	True	6.1179e-12	6.1179e-12	3.7146e-01	5.1983e-02	1.3496e-08
461	Heart_Atrial_Appendage	ENSG00000138744.14	NAAA	chr4	75913657	75940949	1	chr4	76027456	76027965	19295	True	True	7.9081e-12	7.9081e-12	3.4753e-01	4.9147e-02	1.3711e-08
462	Pancreas	ENSG00000206077.10	ZDHHC11B	chr5	710360	766952	19	chr5	764827	765401	20384	True	True	3.4922e-13	3.4922e-13	4.0489e-01	5.3146e-02	1.3735e-08
463	Brain_Caudate_basal_ganglia	ENSG00000224769.1	MUC20P1	chr3	195614947	195620233	5	chr3	195717039	195717263	18365	True	True	2.7201e-13	2.7201e-13	4.9668e-01	6.3133e-02	1.3894e-08
464	Muscle_Skeletal	ENSG00000240356.6	RPL23AP7	chr2	113610502	113627090	8	chr2	113610060	113611275	13631	True	True	1.7354e-12	1.7354e-12	-2.6406e-01	3.6745e-02	1.4196e-08
465	Nerve_Tibial	ENSG00000262539.1	RP11-259G18.3	chr17	46259551	46260606	1	chr17	46265245	46265480	10319	True	True	1.8493e-11	1.8493e-11	2.8924e-01	4.2100e-02	1.4531e-08
466	Brain_Anterior_cingulate_cortex_BA24	ENSG00000206077.10	ZDHHC11B	chr5	710360	766952	19	chr5	764827	765401	20384	True	True	3.8697e-14	3.8697e-14	5.8348e-01	6.9133e-02	1.4848e-08
467	Nerve_Tibial	ENSG00000228274.3	RP3-508I15.9	chr22	38667663	38681820	3	chr22	38644314	38644569	16425	True	True	6.5699e-12	6.5699e-12	-3.0333e-01	4.3091e-02	1.4934e-08
468	Esophagus_Mucosa	ENSG00000262539.1	RP11-259G18.3	chr17	46259551	46260606	1	chr17	46265245	46265480	10319	True	True	1.5972e-11	1.5972e-11	3.0000e-01	4.3451e-02	1.5621e-08
469	Esophagus_Mucosa	ENSG00000091073.19	DTX2	chr7	76461676	76505994	3	chr7	76388823	76388890	24525	True	True	5.5575e-12	5.5575e-12	3.0735e-01	4.3480e-02	1.5621e-08
470	Esophagus_Gastroesophageal_Junction	ENSG00000032742.17	IFT88	chr13	20567069	20691437	2	chr13	20550539	20550640	6323	True	True	4.0259e-12	4.0259e-12	-3.7174e-01	5.1574e-02	1.5986e-08
471	Skin_Sun_Exposed_Lower_leg	ENSG00000112584.13	FAM120B	chr6	170290703	170407065	27	chr6	170398296	170400316	23682	True	True	8.6457e-13	8.6457e-13	2.8823e-01	3.9422e-02	1.6707e-08
472	Skin_Not_Sun_Exposed_Suprapubic	ENSG00000100221.10	JOSD1	chr22	38685543	38701556	4	chr22	38644314	38644569	16425	True	True	5.4047e-12	5.4047e-12	-3.0480e-01	4.3114e-02	1.7298e-08
473	Lung	ENSG00000262500.1	MAPK8IP1P1	chr17	46243606	46245044	1	chr17	46265245	46265480	10319	True	True	2.3760e-11	2.3760e-11	2.9293e-01	4.2845e-02	1.7535e-08
474	Breast_Mammary_Tissue	ENSG00000120071.13	KANSL1	chr17	46029916	46225389	1	chr17	46265245	46265480	10319	True	True	1.2485e-11	1.2485e-11	3.3584e-01	4.8067e-02	1.7654e-08
475	Adipose_Subcutaneous	ENSG00000249908.2	BRD9P2	chr5	767382	768930	11	chr5	764827	765401	20384	True	True	2.4971e-12	2.4971e-12	2.8971e-01	4.0445e-02	1.7938e-08
476	Heart_Atrial_Appendage	ENSG00000032742.17	IFT88	chr13	20567069	20691437	2	chr13	20550539	20550640	6323	True	True	7.5908e-12	7.5908e-12	-3.4871e-01	4.9260e-02	2.4129e-08
477	Testis	ENSG00000196151.10	WDSUB1	chr2	159235793	159286799	1	chr2	159237781	159237871	14024	True	True	2.4099e-11	2.4099e-11	3.6150e-01	5.2203e-02	2.4675e-08
478	Brain_Nucleus_accumbens_basal_ganglia	ENSG00000224769.1	MUC20P1	chr3	195614947	195620233	5	chr3	195717039	195717263	18365	True	True	2.4592e-13	2.4592e-13	4.8859e-01	6.2164e-02	2.5282e-08
479	Pituitary	ENSG00000215837.7	SDHAP2	chr3	195658096	195685904	4	chr3	195694561	195694966	18362	True	True	1.7681e-12	1.7681e-12	4.4136e-01	5.9168e-02	2.6040e-08
480	Nerve_Tibial	ENSG00000207650.1	MIR570	chr3	195699401	195699497	4	chr3	195694561	195694966	18362	True	True	9.3667e-12	9.3667e-12	2.9275e-01	4.1972e-02	2.7410e-08
481	Skin_Sun_Exposed_Lower_leg	ENSG00000100211.10	CBY1	chr22	38656640	38673854	3	chr22	38644314	38644569	16425	True	True	1.3399e-11	1.3399e-11	-2.8167e-01	4.0766e-02	2.7811e-08
482	Skin_Not_Sun_Exposed_Suprapubic	ENSG00000251819.1	RNU6-322P	chr15	100551820	100551922	8	chr15	100554291	100558659	8773	True	True	4.5594e-12	4.5594e-12	3.0086e-01	4.2438e-02	2.8103e-08
483	Adipose_Visceral_Omentum	ENSG00000188818.12	ZDHHC11	chr5	795606	850986	14	chr5	764827	765401	20384	True	True	2.0860e-12	2.0860e-12	3.2193e-01	4.4532e-02	3.1179e-08
484	Lung	ENSG00000281990.1	IGHV1-69-2	chr14	106737110	106737547	5	chr14	106705656	106706543	8160	True	True	9.3763e-12	9.3763e-12	3.0267e-01	4.3323e-02	3.3445e-08
485	Brain_Cerebellum	ENSG00000206077.10	ZDHHC11B	chr5	710360	766952	19	chr5	764827	765401	20384	True	True	2.6100e-13	2.6100e-13	4.8921e-01	6.2298e-02	3.4591e-08
486	Muscle_Skeletal	ENSG00000259205.2	PRKXP1	chr15	100553529	100558954	9	chr15	100554291	100558659	8773	True	True	4.0578e-12	4.0578e-12	2.6329e-01	3.7270e-02	3.5268e-08
487	Skin_Sun_Exposed_Lower_leg	ENSG00000262500.1	MAPK8IP1P1	chr17	46243606	46245044	1	chr17	46265245	46265480	10319	True	True	5.7880e-11	5.7880e-11	2.6556e-01	3.9792e-02	3.8752e-08
488	Breast_Mammary_Tissue	ENSG00000113303.11	BTNL8	chr5	180899077	180950906	9	chr5	180986484	180986608	21968	True	True	3.2857e-12	3.2857e-12	3.4179e-01	4.7527e-02	3.9200e-08
489	Artery_Aorta	ENSG00000214401.4	KANSL1-AS1	chr17	46193576	46196723	1	chr17	46265245	46265480	10319	True	True	2.0837e-11	2.0837e-11	3.3780e-01	4.8866e-02	4.0933e-08
490	Artery_Aorta	ENSG00000249908.2	BRD9P2	chr5	767382	768930	11	chr5	774459	774835	20385	True	True	2.1745e-12	2.1745e-12	3.5171e-01	4.8405e-02	4.2715e-08
491	Brain_Cerebellar_Hemisphere	ENSG00000283426.1	RP11-141C7.2	chr3	195701618	195711643	4	chr3	195717039	195717263	18365	True	True	1.0796e-12	1.0796e-12	5.0841e-01	6.6044e-02	4.4657e-08
492	Brain_Cortex	ENSG00000120071.13	KANSL1	chr17	46029916	46225389	1	chr17	46265245	46265480	10319	True	True	8.6906e-12	8.6906e-12	4.5743e-01	6.3037e-02	4.4702e-08
493	Whole_Blood	ENSG00000165810.16	BTNL9	chr5	181040225	181061523	12	chr5	180986484	180986608	21968	True	True	5.7283e-12	5.7283e-12	2.6321e-01	3.7524e-02	4.5617e-08
494	Whole_Blood	ENSG00000197142.10	ACSL5	chr10	112374018	112428380	7	chr10	112440034	112440213	3210	True	True	1.0135e-11	1.0135e-11	2.6057e-01	3.7609e-02	4.5617e-08
495	Brain_Cerebellum	ENSG00000120071.13	KANSL1	chr17	46029916	46225389	1	chr17	46265245	46265480	10319	True	True	8.8176e-12	8.8176e-12	4.5528e-01	6.2800e-02	4.6129e-08
496	Brain_Hypothalamus	ENSG00000206077.10	ZDHHC11B	chr5	710360	766952	19	chr5	764827	765401	20384	True	True	1.1727e-13	1.1727e-13	5.4168e-01	6.6663e-02	4.6230e-08
497	Artery_Aorta	ENSG00000100211.10	CBY1	chr22	38656640	38673854	3	chr22	38644314	38644569	16425	True	True	1.0002e-11	1.0002e-11	-3.5281e-01	5.0087e-02	4.9121e-08
498	Nerve_Tibial	ENSG00000171903.16	CYP4F11	chr19	15912367	15934867	12	chr19	15882462	15882698	12031	True	True	5.9752e-12	5.9752e-12	2.9511e-01	4.1900e-02	5.0708e-08
499	Adipose_Visceral_Omentum	ENSG00000138744.14	NAAA	chr4	75913657	75940949	1	chr4	76027456	76027965	19295	True	True	5.3162e-11	5.3162e-11	2.9908e-01	4.4491e-02	5.3920e-08
500	Skin_Not_Sun_Exposed_Suprapubic	ENSG00000184967.6	NOC4L	chr12	132144448	132152441	12	chr12	132148889	132150763	6237	True	True	6.2666e-12	6.2666e-12	-3.0128e-01	4.2772e-02	5.5870e-08
501	Skin_Not_Sun_Exposed_Suprapubic	ENSG00000124116.18	WFDC3	chr20	45747944	45791932	4	chr20	45738844	45739247	15244	True	True	2.0884e-11	2.0884e-11	2.9039e-01	4.2373e-02	5.9924e-08
502	Esophagus_Muscularis	ENSG00000182931.9	WFDC10B	chr20	45684653	45705019	4	chr20	45738844	45739247	15244	True	True	1.4663e-11	1.4663e-11	-3.0730e-01	4.4369e-02	6.0608e-08
503	Muscle_Skeletal	ENSG00000101457.12	DNTTIP1	chr20	45791937	45811427	4	chr20	45738844	45739247	15244	True	True	1.7315e-11	1.7315e-11	2.5064e-01	3.6642e-02	6.3364e-08
504	Prostate	ENSG00000215837.7	SDHAP2	chr3	195658096	195685904	4	chr3	195694561	195694966	18362	True	True	1.5041e-12	1.5041e-12	4.5521e-01	6.0583e-02	6.5526e-08
505	Colon_Sigmoid	ENSG00000120071.13	KANSL1	chr17	46029916	46225389	1	chr17	46265245	46265480	10319	True	True	3.9562e-11	3.9562e-11	3.6538e-01	5.3301e-02	7.2284e-08
506	Liver	ENSG00000197888.2	UGT2B17	chr4	68537184	68568527	1	chr4	68596915	68597248	19224	True	True	4.1839e-12	4.1839e-12	4.5753e-01	6.2104e-02	7.6699e-08
507	Adipose_Visceral_Omentum	ENSG00000100211.10	CBY1	chr22	38656640	38673854	3	chr22	38644314	38644569	16425	True	True	2.9061e-11	2.9061e-11	-3.0845e-01	4.5195e-02	8.4215e-08
508	Colon_Transverse	ENSG00000207650.1	MIR570	chr3	195699401	195699497	4	chr3	195694561	195694966	18362	True	True	1.8016e-11	1.8016e-11	3.4363e-01	4.9495e-02	8.8219e-08
509	Brain_Putamen_basal_ganglia	ENSG00000206077.10	ZDHHC11B	chr5	710360	766952	19	chr5	774459	774835	20385	True	True	2.3788e-13	2.3788e-13	5.3590e-01	6.6956e-02	8.9116e-08
510	Cells_Cultured_fibroblasts	ENSG00000262539.1	RP11-259G18.3	chr17	46259551	46260606	1	chr17	46265245	46265480	10319	True	True	1.1879e-10	1.1879e-10	2.9110e-01	4.4176e-02	9.0053e-08
511	Cells_Cultured_fibroblasts	ENSG00000270696.1	RP11-342K6.1	chr2	75660462	75662208	4	chr2	75712061	75712382	13351	True	True	2.9811e-11	2.9811e-11	-2.9820e-01	4.3796e-02	9.0053e-08
512	Artery_Aorta	ENSG00000120071.13	KANSL1	chr17	46029916	46225389	1	chr17	46265245	46265480	10319	True	True	5.9862e-11	5.9862e-11	3.3039e-01	4.9002e-02	9.0456e-08
513	Colon_Transverse	ENSG00000168903.8	BTNL3	chr5	180988845	181006727	10	chr5	180986484	180986608	21968	True	True	7.9057e-12	7.9057e-12	3.4843e-01	4.9265e-02	9.1403e-08
514	Spleen	ENSG00000283426.1	RP11-141C7.2	chr3	195701618	195711643	4	chr3	195717039	195717263	18365	True	True	7.7283e-12	7.7283e-12	4.3743e-01	6.0490e-02	9.2024e-08
515	Brain_Cerebellum	ENSG00000224769.1	MUC20P1	chr3	195614947	195620233	5	chr3	195717039	195717263	18365	True	True	4.4461e-12	4.4461e-12	4.5803e-01	6.2238e-02	9.3038e-08
516	Cells_Cultured_fibroblasts	ENSG00000124116.18	WFDC3	chr20	45747944	45791932	4	chr20	45738844	45739247	15244	True	True	3.2225e-11	3.2225e-11	2.9681e-01	4.3678e-02	9.3453e-08
517	Adipose_Visceral_Omentum	ENSG00000262539.1	RP11-259G18.3	chr17	46259551	46260606	1	chr17	46265245	46265480	10319	True	True	1.0994e-10	1.0994e-10	2.9556e-01	4.4737e-02	1.0137e-07
518	Stomach	ENSG00000249908.2	BRD9P2	chr5	767382	768930	11	chr5	764827	765401	20384	True	True	4.7236e-12	4.7236e-12	3.7885e-01	5.2647e-02	1.0377e-07
519	Esophagus_Muscularis	ENSG00000229178.1	AC069513.4	chr3	195655565	195657927	4	chr3	195694561	195694966	18362	True	True	2.7330e-11	2.7330e-11	3.0526e-01	4.4692e-02	1.0732e-07
520	Stomach	ENSG00000236397.3	DDX11L2	chr2	113599036	113601261	6	chr2	113610060	113611275	13631	True	True	9.8837e-12	9.8837e-12	-3.6801e-01	5.2060e-02	1.0767e-07
521	Colon_Transverse	ENSG00000270127.2	RP11-526I2.5	chr15	100547765	100550153	8	chr15	100554291	100558659	8773	True	True	1.2888e-11	1.2888e-11	3.5198e-01	5.0247e-02	1.1293e-07
522	Testis	ENSG00000248761.1	CTD-2593A12.2	chr5	180967848	180968567	8	chr5	180986484	180986608	21968	True	True	1.4445e-11	1.4445e-11	3.6633e-01	5.2261e-02	1.1424e-07
523	Artery_Aorta	ENSG00000236397.3	DDX11L2	chr2	113599036	113601261	6	chr2	113610060	113611275	13631	True	True	1.4104e-11	1.4104e-11	-3.3920e-01	4.8643e-02	1.1874e-07
524	Heart_Atrial_Appendage	ENSG00000214401.4	KANSL1-AS1	chr17	46193576	46196723	1	chr17	46265245	46265480	10319	True	True	8.4370e-11	8.4370e-11	3.3133e-01	4.9522e-02	1.2378e-07
525	Artery_Tibial	ENSG00000196151.10	WDSUB1	chr2	159235793	159286799	1	chr2	159237781	159237871	14024	True	True	1.7817e-10	1.7817e-10	2.6128e-01	4.0219e-02	1.2634e-07
526	Muscle_Skeletal	ENSG00000279267.1	RP11-395L14.18	chr2	113605867	113607908	6	chr2	113610060	113611275	13631	True	True	2.4626e-11	2.4626e-11	-2.5035e-01	3.6884e-02	1.2842e-07
527	Testis	ENSG00000236397.3	DDX11L2	chr2	113599036	113601261	6	chr2	113610060	113611275	13631	True	True	2.2758e-11	2.2758e-11	-3.6299e-01	5.2335e-02	1.3049e-07
528	Skin_Sun_Exposed_Lower_leg	ENSG00000141564.13	RPTOR	chr17	80544819	80966238	35	chr17	80743669	80745021	10691	True	True	5.7928e-12	5.7928e-12	2.8071e-01	3.9922e-02	1.3150e-07
529	Prostate	ENSG00000224769.1	MUC20P1	chr3	195614947	195620233	5	chr3	195717039	195717263	18365	True	True	3.8884e-12	3.8884e-12	4.4852e-01	6.0955e-02	1.4116e-07
530	Pancreas	ENSG00000236397.3	DDX11L2	chr2	113599036	113601261	6	chr2	113610060	113611275	13631	True	True	1.4350e-11	1.4350e-11	-3.7764e-01	5.3729e-02	1.4582e-07
531	Pancreas	ENSG00000169248.12	CXCL11	chr4	76033682	76041415	1	chr4	76027456	76027965	19295	True	True	8.6075e-11	8.6075e-11	-3.6503e-01	5.4205e-02	1.4582e-07
532	Adipose_Visceral_Omentum	ENSG00000184465.15	WDR27	chr6	169457212	169702048	16	chr6	169765857	169766056	23628	True	True	1.0401e-11	1.0401e-11	3.0849e-01	4.4207e-02	1.4677e-07
533	Muscle_Skeletal	ENSG00000032742.17	IFT88	chr13	20567069	20691437	2	chr13	20550539	20550640	6323	True	True	9.4665e-11	9.4665e-11	-2.4255e-01	3.6879e-02	1.5672e-07
534	Testis	ENSG00000261575.2	RP11-259G18.1	chr17	46267037	46268694	1	chr17	46265245	46265480	10319	True	True	1.7434e-10	1.7434e-10	3.5011e-01	5.3031e-02	1.6123e-07
535	Breast_Mammary_Tissue	ENSG00000197915.5	HRNR	chr1	152212082	152224193	3	chr1	152213243	152221044	1143	True	True	4.4095e-11	4.4095e-11	3.2480e-01	4.7892e-02	1.6505e-07
536	Muscle_Skeletal	ENSG00000196151.10	WDSUB1	chr2	159235793	159286799	1	chr2	159237781	159237871	14024	True	True	2.2331e-10	2.2331e-10	2.3713e-01	3.6824e-02	1.7645e-07
537	Esophagus_Gastroesophageal_Junction	ENSG00000249908.2	BRD9P2	chr5	767382	768930	11	chr5	774459	774835	20385	True	True	9.1277e-12	9.1277e-12	3.7130e-01	5.2399e-02	1.8122e-07
538	Skin_Not_Sun_Exposed_Suprapubic	ENSG00000262500.1	MAPK8IP1P1	chr17	46243606	46245044	1	chr17	46265245	46265480	10319	True	True	2.7068e-10	2.7068e-10	2.7647e-01	4.2893e-02	1.8770e-07
539	Pancreas	ENSG00000283426.1	RP11-141C7.2	chr3	195701618	195711643	4	chr3	195717039	195717263	18365	True	True	3.1529e-11	3.1529e-11	3.7226e-01	5.3946e-02	1.9580e-07
540	Adrenal_Gland	ENSG00000237975.6	FLG-AS1	chr1	152168125	152445456	4	chr1	152213243	152221044	1143	True	True	5.3142e-12	5.3142e-12	-4.3522e-01	5.9757e-02	2.0857e-07
541	Brain_Putamen_basal_ganglia	ENSG00000189306.10	RRP7A	chr22	42509968	42519802	1	chr22	42546989	42547432	16467	True	True	2.1326e-11	2.1326e-11	4.9640e-01	6.8844e-02	2.1024e-07
542	Artery_Tibial	ENSG00000259205.2	PRKXP1	chr15	100553529	100558954	9	chr15	100554291	100558659	8773	True	True	3.8265e-11	3.8265e-11	2.7553e-01	4.0841e-02	2.3549e-07
543	Liver	ENSG00000237975.6	FLG-AS1	chr1	152168125	152445456	4	chr1	152213243	152221044	1143	True	True	6.5810e-12	6.5810e-12	-4.5376e-01	6.2239e-02	2.4128e-07
544	Prostate	ENSG00000283426.1	RP11-141C7.2	chr3	195701618	195711643	4	chr3	195717039	195717263	18365	True	True	1.1235e-11	1.1235e-11	4.3976e-01	6.1251e-02	2.4472e-07
545	Brain_Nucleus_accumbens_basal_ganglia	ENSG00000206077.10	ZDHHC11B	chr5	710360	766952	19	chr5	764827	765401	20384	True	True	1.2604e-12	1.2604e-12	4.8209e-01	6.3394e-02	2.4620e-07
546	Adipose_Subcutaneous	ENSG00000229178.1	AC069513.4	chr3	195655565	195657927	4	chr3	195717039	195717263	18365	True	True	9.7602e-11	9.7602e-11	2.6691e-01	4.0472e-02	2.4699e-07
547	Breast_Mammary_Tissue	ENSG00000138744.14	NAAA	chr4	75913657	75940949	1	chr4	76027456	76027965	19295	True	True	2.1081e-10	2.1081e-10	3.1490e-01	4.8247e-02	2.4841e-07
548	Lung	ENSG00000238286.1	SLC35E1P1	chr13	20607268	20608131	1	chr13	20550539	20550640	6323	True	True	3.7721e-10	3.7721e-10	-2.7377e-01	4.2842e-02	2.6042e-07
549	Colon_Transverse	ENSG00000249908.2	BRD9P2	chr5	767382	768930	11	chr5	774459	774835	20385	True	True	2.3212e-11	2.3212e-11	3.4503e-01	4.9956e-02	2.6568e-07
550	Lung	ENSG00000165272.14	AQP3	chr9	33441154	33447611	1	chr9	33423377	33423908	27326	True	True	4.2538e-10	4.2538e-10	-2.7195e-01	4.2696e-02	2.8450e-07
551	Esophagus_Muscularis	ENSG00000032742.17	IFT88	chr13	20567069	20691437	2	chr13	20550539	20550640	6323	True	True	1.5303e-10	1.5303e-10	-2.9366e-01	4.4814e-02	2.8616e-07
